label,cond1,cond2,cond3,item,controller,sentence,alternative,overnum,amaze_labels,labels_nums,num_words,label_mismatch,verb_num
mklo.hit.100,mklo,hit,none,100,Maze,The workmen banged the nails.,x-x-x vocally infancy yeah versa.,1,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.101,mklo,hit,none,101,Maze,The king slapped the rebel.,x-x-x else shuttle page adopt.,2,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.102,mklo,hit,none,102,Maze,The assistant patted the dough.,x-x-x recommend patchy nice dared.,3,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.103,mklo,hit,none,103,Maze,The maidens caressed my feet.,x-x-x abolish licensure sale thus.,4,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.104,mklo,hit,none,104,Maze,The boys bit the candy.,x-x-x else acute fund audit.,5,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.105,mklo,hit,none,105,Maze,The man beat the oxen.,x-x-x seen coma tell omit.,6,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.106,mklo,hit,none,106,Maze,The breeze tickled my neck.,x-x-x expire primetime yes owns.,7,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.107,mklo,hit,none,107,Maze,The teenagers battered the suspects.,x-x-x deodorize ductile pick verified.,8,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.108,mklo,hit,none,108,Maze,The sheriff nudged my elbow.,x-x-x undergo cassava pre vitro.,9,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.109,mklo,hit,none,109,Maze,The jay pecked the treats.,x-x-x hie typhoons glad tapped.,10,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.110,mklo,hit,none,110,Maze,The warrior kicked my jaw.,x-x-x manning preview okay sans.,11,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.hit.111,mklo,hit,none,111,Maze,The acid stung my eye.,x-x-x warn renown goal glad.,12,hit1 hit2 verb3 hit4 hit5,5,5,0,2
mklo.break.100,mklo,break,none,100,Maze,The workmen chipped the tiles.,x-x-x vocally infancy buy macro.,13,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.101,mklo,break,none,101,Maze,The king crushed the protest.,x-x-x else shuttle vote besides.,14,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.102,mklo,break,none,102,Maze,The assistant ripped the script.,x-x-x recommend patchy sale argued.,15,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.103,mklo,break,none,103,Maze,The boulders shattered my feet.,x-x-x abolish licensure pre none.,16,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.104,mklo,break,none,104,Maze,The boys smashed the bottles.,x-x-x else acute kill receipt.,17,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.105,mklo,break,none,105,Maze,The man tore the tickets.,x-x-x seen coma pre anymore.,18,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.106,mklo,break,none,106,Maze,The monk fractured his neck.,x-x-x slid primetime bank zero.,19,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.107,mklo,break,none,107,Maze,The teenagers rumpled the sweaters.,x-x-x deodorize ductile sir preclude.,20,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.108,mklo,break,none,108,Maze,The stones cracked my windshield.,x-x-x priced cassava term commencing.,21,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.109,mklo,break,none,109,Maze,The stove scorched the treats.,x-x-x borne typhoons gets denied.,22,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.110,mklo,break,none,110,Maze,The warrior snapped my jaw.,x-x-x undergo preview vs gig.,23,break1 break2 verb3 break4 break5,5,5,0,2
mklo.break.111,mklo,break,none,111,Maze,The oven thawed my food.,x-x-x warn renown sir none.,24,break1 break2 verb3 break4 break5,5,5,0,2
gp.event.200,gp,event,none,200,Maze,The head librarian arranged a new weekly meeting.,x-x-x seen negligent sunshine dad lose proven stopped.,25,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.201,gp,event,none,201,Maze,The chief resident accused the nurse of being inefficient.,x-x-x yours darkness privacy text exist seem makes terminology.,26,event1 event2 event3 verb4 event5 event6 event7 event8 event9,9,9,0,3
gp.event.202,gp,event,none,202,Maze,The young detective inspected the crime scene.,x-x-x defer clearance hectares deal click clean.,27,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.203,gp,event,none,203,Maze,The Lebanese immigrant came to Maryland around 1966.,x-x-x Secondly placement sorry cent Contents effect sent.,28,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.204,gp,event,none,204,Maze,The older daughter interrupted her father.,x-x-x elide accuracy microwave sort expect.,29,event1 event2 event3 verb4 event5 event6,6,6,0,3
gp.event.205,gp,event,none,205,Maze,The impeached president asserted his constitutional right to immunity.,x-x-x designate wonderful newcomers draw infrastructure floor read barbecue.,30,event1 event2 event3 verb4 event5 event6 event7 event8 event9,9,9,0,3
gp.event.206,gp,event,none,206,Maze,The restless scout explored the Amazon basin.,x-x-x chastise defer strawberry eat Delete bulls.,31,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.207,gp,event,none,207,Maze,The famous violinist criticized his colleagues.,x-x-x anyway elevating citizenship gain preventing.,32,event1 event2 event3 verb4 event5 event6,6,6,0,3
gp.event.208,gp,event,none,208,Maze,The Renaissance philosopher invented a complex pulley,x-x-x Necessitate consolidate cabbaged room becomes depots,33,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.209,gp,event,none,209,Maze,The French ambassador visited the northern provinces of Canada.,x-x-x Imbue everything decade runs appeared paragraph ones Annual.,34,event1 event2 event3 verb4 event5 event6 event7 event8 event9,9,9,0,3
gp.event.210,gp,event,none,210,Maze,The political prisoner contacted a Human Rights organization.,x-x-x inculcate wondered platinum walk Apply Advice representing.,35,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.211,gp,event,none,211,Maze,The local athlete eluded the anxious reporter.,x-x-x marry hurting worsen kept focuses deserves.,36,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.212,gp,event,none,212,Maze,The Italian minister provoked an angry response at the UN meeting.,x-x-x Deliver annoying textbook cent argue programs safe firm WINS fashion.,37,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10 event11,11,11,0,3
gp.event.213,gp,event,none,213,Maze,The senior student painted his room yellow.,x-x-x gotten beastly cheaper wait hear losses.,38,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.214,gp,event,none,214,Maze,The retired musician built his second house from scratch.,x-x-x enhance allergic dairy yeah expect feels girl kicking.,39,event1 event2 event3 verb4 event5 event6 event7 event8 event9,9,9,0,3
gp.event.215,gp,event,none,215,Maze,The old prosecutor invoked the fourth amendment.,x-x-x ago preferably oxidation trip cheese designers.,40,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.216,gp,event,none,216,Maze,The bossy editor allowed one party in the office.,x-x-x scour regret furnish gone shall cat fell expect.,41,event1 event2 event3 verb4 event5 event6 event7 event8 event9,9,9,0,3
gp.event.217,gp,event,none,217,Maze,The army general clarified his political position.,x-x-x else awesome untreated date everybody powerful.,42,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.218,gp,event,none,218,Maze,The teaching assistant degraded his supervisor.,x-x-x whatever pregnancy droughts hit confronted.,43,event1 event2 event3 verb4 event5 event6,6,6,0,3
gp.event.219,gp,event,none,219,Maze,The celebrated investor mingled with his friends.,x-x-x facilitate resisted denting anti send located.,44,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.220,gp,event,none,220,Maze,The idealistic peacekeeper disarmed the guerilla fighter.,x-x-x categorize ascertained jumpers loss elliptic listing.,45,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.221,gp,event,none,221,Maze,The experienced manager assured the stockholders of success.,x-x-x superimpose confirm embassy sun approximated anti effects.,46,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.222,gp,event,none,222,Maze,The executive director curtailed the workers' rights.,x-x-x negotiate northern cyclones non imagine' listen.,47,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.223,gp,event,none,223,Maze,The frontier rangers decimated the illegal settlements.,x-x-x commence vanilla annulment sell divorce convertible.,48,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.224,gp,event,none,224,Maze,The savvy accountant deducted the outrageous fees.,x-x-x unbag kilometres chapels sort childbirth puts.,49,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.225,gp,event,none,225,Maze,The visiting scientist solved the intricate math problem.,x-x-x penalize correctly heroin anti penetrate wore partner.,50,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.226,gp,event,none,226,Maze,The popular Democrat avenged the workers' unfair treatment.,x-x-x anymore Adequate lichens easy realize' basics literally.,51,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.227,gp,event,none,227,Maze,The Chinese emperor noted that his subordinates were hungry.,x-x-x Iconize forgive canvas feel mom lighthearted rich tablet.,52,event1 event2 event3 verb4 event5 event6 event7 event8 event9,9,9,0,3
gp.event.228,gp,event,none,228,Maze,The controversial governor showed evidence in his defense.,x-x-x functionalize equipped weird tomorrow try can prevent.,53,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.229,gp,event,none,229,Maze,The dirty player exited instantly.,x-x-x yours posted paler ambitious.,54,event1 event2 event3 verb4 event5,5,5,0,3
gp.event.230,gp,event,none,230,Maze,The Russian diplomat stressed the importance of the economic measures.,x-x-x Anymore slipping wickets cash associates dead sit provides confused.,55,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10,10,10,0,3
gp.event.231,gp,event,none,231,Maze,The despotic dictator declared an embargo against Cuba.,x-x-x malinger mornings bathroom grow lexical parents Dial.,56,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.232,gp,event,none,232,Maze,The young boy bullied his parents.,x-x-x tempt shut overdue yes offered.,57,event1 event2 event3 verb4 event5 event6,6,6,0,3
gp.event.233,gp,event,none,233,Maze,A few diligent men devised a novel communication system.,x-x-x luck acumber mid turmoil app falls neighborhoods levels.,58,event1 event2 event3 verb4 event5 event6 event7 event8 event9,9,9,0,3
gp.event.234,gp,event,none,234,Maze,The Swedish academy awarded a Nobel Prize to an unknown scientist.,x-x-x Showers pleased capitol knew Haunt Folks step holy protein campaigns.,59,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10 event11,11,11,0,3
gp.event.235,gp,event,none,235,Maze,The advising committee reviewed the hospital's rules on patient treatment.,x-x-x begirdle dangerous computing lose dislocated ahead heat tonight obviously.,60,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10,10,10,0,3
gp.event.236,gp,event,none,236,Maze,The previous administration removed evidence compromising its subordinates.,x-x-x whatever understandable suicide birthday inauguration kid commemorates.,61,event1 event2 event3 verb4 event5 event6 event7 event8,8,8,0,3
gp.event.237,gp,event,none,237,Maze,The food factory commissioned a small part of the necessary equipment.,x-x-x upon pleased impeachment loss among luck easy seen ourselves everybody.,62,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10 event11,11,11,0,3
gp.event.238,gp,event,none,238,Maze,The recent polls distorted the candidate's judgment.,x-x-x gotten cared worldly grow propagating liberals.,63,event1 event2 event3 verb4 event5 event6 event7,7,7,0,3
gp.event.239,gp,event,none,239,Maze,Many economic problems emerged in Europe after the Second World War.,x-x-x yourself watching battles big Window sweet vote Handle Super Hall.,64,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10 event11,11,11,0,3
gp.event.240,gp,event,none,240,Maze,The famous book discussed the financial implications of the Gulf War.,x-x-x ascend knew democrats sick certainly bibliography way hurt Pops Mom.,65,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10 event11,11,11,0,3
gp.event.241,gp,event,none,241,Maze,The department chair said that the students did not come to class.,x-x-x accomplish worse hate cent cat tomorrow cell tree baby gas looks.,66,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10 event11 event12,12,12,0,3
gp.event.242,gp,event,none,242,Maze,The clever tyrant began to negotiate with the national parties.,x-x-x abrade weaken rental lot projected lord east remember reached.,67,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10,10,10,0,3
gp.event.243,gp,event,none,243,Maze,The executive staff graduated from the Harvard School of Business.,x-x-x anglicize proud milligrams walk till Achieve Longer car Contract.,68,event1 event2 event3 verb4 event5 event6 event7 event8 event9 event10,10,10,0,3
gp.state.200,gp,state,none,200,Maze,The head librarian belonged to a union committee.,x-x-x else resorting sunshine fat sun began everybody.,69,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.201,gp,state,none,201,Maze,The chief resident regarded the nurse as a dear friend.,x-x-x yours fabulous privacy walk eaten pick runs upon online.,70,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10,10,10,0,3
gp.state.202,gp,state,none,202,Maze,The young detective disliked his senior partner.,x-x-x defer interpret hectares vote senate improve.,71,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.203,gp,state,none,203,Maze,The Lebanese immigrant lived in Maryland since 1966.,x-x-x Secondly ignorance sorry am Abortion video ring.,72,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.204,gp,state,none,204,Maze,The older daughter resembled her mother.,x-x-x elide whatever microwave kill missed.,73,state1 state2 state3 verb4 state5 state6,6,6,0,3
gp.state.205,gp,state,none,205,Maze,The impeached president regretted his administration's political mistakes.,x-x-x designate happening newcomers feet electrification companies treating.,74,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.206,gp,state,none,206,Maze,The restless scout respected his coach.,x-x-x chastise scans strawberry gone enter.,75,state1 state2 state3 verb4 state5 state6,6,6,0,3
gp.state.207,gp,state,none,207,Maze,The famous violinist appreciated his colleagues.,x-x-x anyway unplanned citizenship turn contractor.,76,state1 state2 state3 verb4 state5 state6,6,6,0,3
gp.state.208,gp,state,none,208,Maze,The Renaissance philosopher admired his ancient predecessors.,x-x-x Necessitate ventilation cabbaged lord promote alphabetical.,77,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.209,gp,state,none,209,Maze,The French ambassador owned a productive factory since the nineties.,x-x-x Imbue everything decade pass capitalism correct views die rehearse.,78,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10,10,10,0,3
gp.state.210,gp,state,none,210,Maze,The political prisoner deserved better treatment.,x-x-x inculcate catching platinum artist certainly.,79,state1 state2 state3 verb4 state5 state6,6,6,0,3
gp.state.211,gp,state,none,211,Maze,The local athlete envied the Olympic champion.,x-x-x marry specify worsen loss Breathe attorney.,80,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.212,gp,state,none,212,Maze,The Italian minister possessed an impressive fortune before he took office.,x-x-x Deliver grateful textbook sale healthcare touched sister pre wait happen.,81,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10 state11,11,11,0,3
gp.state.213,gp,state,none,213,Maze,The senior student hated his greedy roommate.,x-x-x anyway imagine cheaper pre adhere policing.,82,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.214,gp,state,none,214,Maze,The retired musician loved his second child very much.,x-x-x enhance allergic dairy vote choose waste risk anti.,83,state1 state2 state3 verb4 state5 state6 state7 state8 state9,9,9,0,3
gp.state.215,gp,state,none,215,Maze,The old prosecutor cherished his close colleagues.,x-x-x gone evaluating oxidation ice china convenient.,84,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.216,gp,state,none,216,Maze,The bossy editor needed two phones in his office.,x-x-x scour plenty furnish lady galaxy week goes anyway.,85,state1 state2 state3 verb4 state5 state6 state7 state8 state9,9,9,0,3
gp.state.217,gp,state,none,217,Maze,The army general despised the navy commander.,x-x-x else percent untreated glad clue spiritual.,86,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.218,gp,state,none,218,Maze,The teaching assistant detested his supervisor.,x-x-x whatever awareness droughts foot preserving.,87,state1 state2 state3 verb4 state5 state6,6,6,0,3
gp.state.219,gp,state,none,219,Maze,The celebrated investor resided in New York.,x-x-x facilitate regulate denting skin Push Past.,88,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.220,gp,state,none,220,Maze,The idealistic peacekeeper revered his pacifist ancestors.,x-x-x categorize intersected jumpers add engraver regulated.,89,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.221,gp,state,none,221,Maze,The experienced manager trusted his employees.,x-x-x superimpose anymore embassy loss happening.,90,state1 state2 state3 verb4 state5 state6,6,6,0,3
gp.state.222,gp,state,none,222,Maze,The executive director loathed the company's lawyer.,x-x-x negotiate powerful cyclones holy attracted speaks.,91,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.223,gp,state,none,223,Maze,The frontier rangers distrusted the Mexican immigrants.,x-x-x optimize hurting annulment text Whereas publishing.,92,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.224,gp,state,none,224,Maze,The savvy accountant aspired to the bank's presidency.,x-x-x unbag chromosome chapels eyes tree snatch approached.,93,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.225,gp,state,none,225,Maze,The visiting scientist lacked any knowledge of English.,x-x-x penalize converted heroin met happening day Largest.,94,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.226,gp,state,none,226,Maze,The popular Democrat pitied the homeless of New York.,x-x-x watched Assessed lichens lady evaluate luck Felt Bank.,95,state1 state2 state3 verb4 state5 state6 state7 state8 state9,9,9,0,3
gp.state.227,gp,state,none,227,Maze,The Chinese emperor feared that his subordinates were furious.,x-x-x Iconize powered canvas cast cat psychosocial wild implies.,96,state1 state2 state3 verb4 state5 state6 state7 state8 state9,9,9,0,3
gp.state.228,gp,state,none,228,Maze,The controversial governor liked limousines with a bar.,x-x-x functionalize grateful weird subjugated lose sir app.,97,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.229,gp,state,none,229,Maze,The dirty player stank terribly.,x-x-x yours expect paler educator.,98,state1 state2 state3 verb4 state5,5,5,0,3
gp.state.230,gp,state,none,230,Maze,The Russian diplomat doubted the importance of the economic measures.,x-x-x Imagine jeopardy wickets get approached army kids designed unlikely.,99,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10,10,10,0,3
gp.state.231,gp,state,none,231,Maze,The despotic dictator suspected a conspiracy against him.,x-x-x malinger downhill bathroom yeah evaluation healthy seat.,100,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.232,gp,state,none,232,Maze,The young boy adored his parents.,x-x-x tempt pull overdue sort towards.,101,state1 state2 state3 verb4 state5 state6,6,6,0,3
gp.state.233,gp,state,none,233,Maze,A few diligent men comprised the king's entire army.,x-x-x hear acumber mid liquidity lose insist caused hurt.,102,state1 state2 state3 verb4 state5 state6 state7 state8 state9,9,9,0,3
gp.state.234,gp,state,none,234,Maze,The Swedish academy owed its success to its wealthy founder.,x-x-x Dismiss letting capitol join appears bed spot pitched wrapped.,103,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10,10,10,0,3
gp.state.235,gp,state,none,235,Maze,The advising committee consisted of several international representatives.,x-x-x begirdle wonderful computing hear wedding understanding congratulations.,104,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.236,gp,state,none,236,Maze,The previous administration contained innumerable bureaus and departments.,x-x-x cogitate systematically suicide discography majored fall unconscious.,105,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
gp.state.237,gp,state,none,237,Maze,The food factory constituted a small part of the senator's assets.,x-x-x gone insight impeachment pull begin days bet hour intersect gained.,106,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10 state11,11,11,0,3
gp.state.238,gp,state,none,238,Maze,The recent polls equaled the newspaper estimate.,x-x-x anyway slept worldly bet elsewhere clicking.,107,state1 state2 state3 verb4 state5 state6 state7,7,7,0,3
gp.state.239,gp,state,none,239,Maze,Many economic problems existed in Europe after the Second World War.,x-x-x somebody designed battles king Advice throw says Pretty Trump Huge.,108,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10 state11,11,11,0,3
gp.state.240,gp,state,none,240,Maze,The famous book concerned the financial implications of the Gulf War.,x-x-x ascend lose democrats vote therefore consolidated cash eat Wore Gun.,109,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10 state11,11,11,0,3
gp.state.241,gp,state,none,241,Maze,The department chair knew that the students did not come to class.,x-x-x accomplish anger hate bill die compared yes east wall mark month.,110,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10 state11 state12,12,12,0,3
gp.state.242,gp,state,none,242,Maze,The clever tyrant wished to negotiate with the national parties.,x-x-x abrade basins rental vs resistant unit seem although receive.,111,state1 state2 state3 verb4 state5 state6 state7 state8 state9 state10,10,10,0,3
gp.state.243,gp,state,none,243,Maze,The executive board overlapped with the advising committee.,x-x-x anglicize weird milligrams date die collided happening.,112,state1 state2 state3 verb4 state5 state6 state7 state8,8,8,0,3
psych.atel.oe.301,psych,atel,oe,301,Maze,Despite everything the janitor agitated the chemistry teacher.,x-x-x window add ashore reactors laws subscribe wedding.,113,psych1 psych2 psych3 psych4 V0 post1 post2 post3,8,8,0,4
psych.atel.se.301,psych,atel,se,301,Maze,Despite everything the janitor admired the chemistry teacher.,x-x-x window add ashore reactors laws subscribe wedding.,114,psych1 psych2 psych3 psych4 V0 post1 post2 post3,8,8,0,4
psych.tel.oe.301,psych,tel,oe,301,Maze,Within a couple of minutes the janitor agitated the chemistry teacher.,x-x-x window add ashore becomes kind nestled reactors laws subscribe wedding.,115,psych1 psych2 psych3 psych4 psych5 psych6 psych7 V0 post1 post2 post3,11,11,0,7
psych.tel.se.301,psych,tel,se,301,Maze,Within a couple of minutes the janitor admired the chemistry teacher.,x-x-x window add ashore becomes kind nestled reactors laws subscribe wedding.,116,psych1 psych2 psych3 psych4 psych5 psych6 psych7 V0 post1 post2 post3,11,11,0,7
psych.atel.oe.302,psych,atel,oe,302,Maze,Though he was sick the patient amused the hospital receptionist.,x-x-x guy glad cent myself depends kilometres club includes cooperatives.,117,psych1 psych2 psych3 psych4 psych5 psych6 V0 post1 post2 post3,10,10,0,6
psych.atel.se.302,psych,atel,se,302,Maze,Though he was sick the patient appreciated the hospital receptionist.,x-x-x guy glad cent myself depends kilometres club includes cooperatives.,118,psych1 psych2 psych3 psych4 psych5 psych6 V0 post1 post2 post3,10,10,0,6
psych.tel.oe.302,psych,tel,oe,302,Maze,In no time the patient amused the hospital receptionist.,x-x-x guy glad cent myself kilometres club includes cooperatives.,119,psych1 psych2 psych3 psych4 psych5 V0 post1 post2 post3,9,9,0,5
psych.tel.se.302,psych,tel,se,302,Maze,In no time the patient appreciated the hospital receptionist.,x-x-x guy glad cent myself kilometres club includes cooperatives.,120,psych1 psych2 psych3 psych4 psych5 V0 post1 post2 post3,9,9,0,5
psych.atel.oe.303,psych,atel,oe,303,Maze,According to the review the critic angered the popular actress.,x-x-x nice sir whilst fear popped cereal eat reached removed.,121,psych1 psych2 psych3 psych4 psych5 psych6 V0 post1 post2 post3,10,10,0,6
psych.atel.se.303,psych,atel,se,303,Maze,According to the review the critic hated the popular actress.,x-x-x nice sir whilst fear popped cereal eat reached removed.,122,psych1 psych2 psych3 psych4 psych5 psych6 V0 post1 post2 post3,10,10,0,6
psych.tel.oe.303,psych,tel,oe,303,Maze,Within moments the critic angered the popular actress.,x-x-x nice sir whilst cereal eat reached removed.,123,psych1 psych2 psych3 psych4 V0 post1 post2 post3,8,8,0,4
psych.tel.se.303,psych,tel,se,303,Maze,Within moments the critic hated the popular actress.,x-x-x nice sir whilst cereal eat reached removed.,124,psych1 psych2 psych3 psych4 V0 post1 post2 post3,8,8,0,4
psych.atel.oe.304,psych,atel,oe,304,Maze,Clearly the conductor annoyed the unprepared cellist.,x-x-x manager educators cancers sir chronicled pouches.,125,psych1 psych2 psych3 V4 post1 post2 post3,7,7,0,3
